"","smiles","drugbank_id","prestwick_ID"
"1","C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2","DB00115","Prestw-433"
"2","[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","DB00121","Prestw-418"
"3","[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO","DB00126","Prestw-325"
"4","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","DB00131","Prestw-356"
"5","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","DB00152","Prestw-631"
"6","NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1","DB00158","Prestw-627"
"7","CC1=C(O)C(CO)=C(CO)C=N1","DB00165","Prestw-623"
"8","[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC","DB00175","Prestw-1319"
"9","COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F","DB00176","Prestw-995"
"10","[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC","DB00178","Prestw-1107"
"11","[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO","DB00180","Prestw-643"
"12","NCC(CC(O)=O)C1=CC=C(Cl)C=C1","DB00181","Prestw-85"
"13","COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1","DB00187","Prestw-1137"
"14","C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O","DB00190","Prestw-1177"
"15","CC(C)(N)CC1=CC=CC=C1","DB00191","Prestw-1308"
"16","COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C","DB00193","Prestw-1465"
"17","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O","DB00194","Prestw-768"
"18","CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1","DB00195","Prestw-382"
"19","OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1","DB00196","Prestw-1417"
"20","CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O","DB00197","Prestw-1467"
"21","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O","DB00199","Prestw-151"
"22","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","DB00201","Prestw-1256"
"23","CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1","DB00203","Prestw-1342"
"24","CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1","DB00205","Prestw-37"
"25","[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2","DB00206","Prestw-875"
"26","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O","DB00207","Prestw-1234"
"27","ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2","DB00208","Prestw-47"
"28","COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1","DB00211","Prestw-191"
"29","CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1","DB00214","Prestw-1030"
